796,New Englander
137,Southern
361,Southern
842,Midwestern
911,Southern
835,Midwestern
587,Southern
29,Midwestern
165,Southern
248,Midwestern
321,Midwestern
694,Southern
354,Midwestern
613,Midwestern
533,Midwestern
390,Midwestern
905,New Englander
254,New Englander
728,New Englander
723,Midwestern
221,Midwestern
235,New Englander
491,Midwestern
615,Southern
595,Midwestern
987,Southern
249,Midwestern
585,Midwestern
424,Southern
71,New Englander
94,New Englander
33,New Englander
653,New Englander
259,Midwestern
204,Midwestern
634,Midwestern
629,New Englander
380,New Englander
77,New Englander
630,Midwestern
82,New Englander
448,Midwestern
1049,New Englander
567,Midwestern
956,Southern
475,Midwestern
953,New Englander
5,New Englander
310,Midwestern
495,Southern
104,Midwestern
97,Midwestern
377,Midwestern
453,New Englander
314,Midwestern
439,Midwestern
949,Southern
281,Midwestern
266,Midwestern
513,New Englander
490,Midwestern
902,Midwestern
722,Southern
985,Midwestern
570,New Englander
118,Southern
450,Midwestern
250,Midwestern
420,Midwestern
285,New Englander
890,New Englander
9,Midwestern
478,New Englander
661,Midwestern
81,Midwestern
462,New Englander
885,Southern
677,Midwestern
239,Southern
850,Midwestern
211,Southern
784,New Englander
464,Midwestern
526,New Englander
227,Midwestern
937,Midwestern
568,Midwestern
530,Midwestern
908,Southern
177,New Englander
1022,Midwestern
899,New Englander
445,New Englander
539,Midwestern
997,Southern
847,Midwestern
876,Californian/Pacific Coast
7,New Englander
155,Californian/Pacific Coast
357,Midwestern
591,Midwestern
223,Midwestern
329,Southern
552,Midwestern
486,Midwestern
851,Southern
394,New Englander
620,New Englander
497,New Englander
532,Midwestern
854,Midwestern
1021,Southern
621,Midwestern
773,Southern
807,Midwestern
940,Midwestern
803,New Englander
163,Midwestern
228,Californian/Pacific Coast
584,Midwestern
866,New Englander
212,Midwestern
837,Midwestern
79,Midwestern
148,Californian/Pacific Coast
302,New Englander
800,Southern
990,Midwestern
868,Southern
479,Midwestern
43,Midwestern
538,Midwestern
133,Midwestern
601,Midwestern
311,Midwestern
566,New Englander
664,Southern
523,New Englander
983,Midwestern
822,Midwestern
0,Southern
360,Midwestern
382,Southern
316,Midwestern
994,Midwestern
598,Midwestern
423,Midwestern
581,Midwestern
458,Southern
172,Midwestern
901,Californian/Pacific Coast
514,New Englander
605,Midwestern
986,New Englander
90,Midwestern
1025,New Englander
181,Midwestern
363,Midwestern
274,Midwestern
762,Midwestern
977,Midwestern
69,Southern
291,Southern
131,Midwestern
300,Midwestern
326,Midwestern
144,Midwestern
516,Californian/Pacific Coast
135,Midwestern
535,Southern
732,Southern
164,Midwestern
28,New Englander
614,Midwestern
193,Southern
643,Southern
433,New Englander
599,New Englander
169,Midwestern
548,New Englander
140,Southern
173,Midwestern
6,Midwestern
700,New Englander
542,Midwestern
778,Midwestern
817,Southern
73,Southern
1040,Midwestern
1008,New Englander
238,Midwestern
145,Midwestern
865,New Englander
234,Midwestern
220,Midwestern
721,Midwestern
132,Southern
1055,New Englander
716,Midwestern
422,Southern
185,Midwestern
668,Southern
108,New Englander
644,Southern
56,New Englander
541,New Englander
1018,Midwestern
616,Southern
483,Midwestern
468,Midwestern
941,Southern
435,Midwestern
24,Midwestern
597,Midwestern
525,New Englander
588,Southern
758,Southern
1012,New Englander
51,Southern
383,Midwestern
827,Southern
1004,Midwestern
832,Southern
1010,New Englander
264,Midwestern
1007,Midwestern
746,Midwestern
444,New Englander
395,Midwestern
176,New Englander
18,Californian/Pacific Coast
545,Southern
622,Southern
61,Midwestern
272,Southern
966,Midwestern
278,Southern
368,Midwestern
673,Southern
736,Midwestern
596,Midwestern
666,New Englander
685,Midwestern
393,Midwestern
693,Midwestern
892,Southern
375,Southern
412,Midwestern
74,Southern
962,Midwestern
500,New Englander
618,Midwestern
114,New Englander
417,New Englander
89,New Englander
1005,Southern
933,Midwestern
991,Midwestern
11,Southern
396,Midwestern
582,Midwestern
42,New Englander
167,Southern
416,Southern
881,Midwestern
426,Midwestern
544,Midwestern
963,New Englander
1038,Midwestern
888,New Englander
670,Midwestern
257,Midwestern
335,Southern
15,Southern
707,Californian/Pacific Coast
324,Midwestern
828,Midwestern
222,Southern
179,Californian/Pacific Coast
99,Midwestern
521,Midwestern
356,Southern
730,New Englander
767,New Englander
340,Californian/Pacific Coast
431,Southern
602,New Englander
912,Midwestern
203,New Englander
689,Southern
93,New Englander
760,Southern
68,Midwestern
720,New Englander
284,Midwestern
970,Midwestern
434,Southern
153,Midwestern
799,Southern
580,Midwestern
446,New Englander
188,Southern
271,Southern
236,Midwestern
487,Midwestern
559,Midwestern
117,Midwestern
893,Southern
512,Midwestern
604,Midwestern
126,Midwestern
116,Californian/Pacific Coast
